,0
0,9
1,3
2,3
3,1
4,10
5,8
6,3
7,10
8,9
9,2
10,10
11,10
12,10
13,4
14,9
15,9
16,5
17,10
18,8
19,9
20,5
21,5
22,11
23,9
24,8
25,10
26,2
27,10
28,8
29,3
30,8
31,8
32,10
33,9
34,3
35,9
36,8
37,4
38,1
39,1
40,1
41,5
42,1
43,3
44,1
45,1
46,9
47,9
48,5
49,5
50,1
51,9
52,1
53,5
54,1
55,1
56,8
57,8
58,11
59,7
60,6
61,11
62,6
63,1
64,0
65,7
66,0
67,0
68,1
69,8
70,6
71,0
72,11
73,1
74,11
75,6
76,0
77,8
78,11
79,7
80,6
81,1
82,0
83,10
84,11
85,6
86,6
87,0
88,7
89,5
90,0
91,8
92,0
93,11
94,1
95,6
96,5
97,10
98,7
99,6
100,6
101,5
102,11
103,0
104,1
105,10
106,0
107,9
108,8
109,10
110,8
111,10
112,5
113,7
114,7
115,11
116,1
117,7
118,6
119,5
120,0
121,5
122,0
123,0
124,7
125,5
126,7
127,3
128,3
129,1
130,7
131,0
132,10
133,10
134,8
135,10
136,5
137,5
138,10
139,9
140,9
141,5
142,1
143,0
144,8
145,5
146,3
147,3
148,7
149,7
150,7
151,10
152,5
153,10
154,8
155,7
156,9
157,11
158,7
159,7
160,2
161,7
162,4
163,4
164,4
165,0
166,0
167,11
168,0
169,11
170,0
171,4
172,7
173,7
174,4
175,2
176,2
177,0
178,8
179,2
180,7
181,1
182,0
183,7
184,2
185,11
186,2
187,11
188,6
189,6
190,7
191,7
192,0
193,0
194,8
195,2
196,7
197,6
198,6
199,2
200,11
201,4
202,4
203,2
204,6
205,7
206,0
207,6
208,1
209,0
210,9
211,6
212,3
213,9
214,4
215,2
216,3
217,2
218,2
219,5
220,10
221,4
222,2
223,10
224,3
225,1
226,2
227,9
228,9
229,2
230,2
231,5
232,2
233,5
234,9
235,10
236,5
237,3
238,2
239,10
240,11
241,5
242,10
243,4
244,3
245,4
246,3
247,2
248,5
249,10
250,2
251,3
252,4
253,10
254,3
255,6
256,5
257,6
258,4
259,4
260,5
261,5
262,11
263,4
264,4
265,3
266,4
267,11
268,3
269,2
270,4
271,6
272,9
273,7
274,3
275,1
276,9
277,2
278,4
279,2
280,3
281,4
282,6
283,6
284,11
285,3
286,3
287,11
288,6
289,4
290,9
291,4
292,6
293,11
294,4
295,4
296,6
297,0
298,2
299,2
300,9
301,11
302,11
303,3
304,3
305,11
306,3
307,3
308,2
309,3
310,4
311,9
312,11
313,6
314,8
315,6
316,9
317,11
318,9
319,6
320,2
321,6
322,7
323,11
324,4
325,11
326,11
327,7
328,6
329,0
330,9
331,3
332,3
333,4
334,9
335,6
336,6
337,6
338,2
339,9
340,2
341,0
342,4
343,6
344,4
345,4
346,6
347,6
348,0
349,4
350,11
351,11
352,2
353,9
354,7
355,4
356,2
357,9
358,11
359,11
360,7
361,7
362,2
363,0
364,0
365,6
366,11
367,8
368,0
369,2
370,4
371,4
372,7
373,2
374,4
375,4
376,11
377,11
378,4
379,7
380,8
381,10
382,8
383,8
384,9
385,3
386,9
387,3
388,1
389,1
390,0
391,9
392,0
393,5
394,5
395,5
396,5
397,1
398,8
399,8
400,8
401,10
402,10
403,1
404,1
405,9
406,5
407,3
408,4
409,3
410,9
411,9
412,9
413,5
414,1
415,3
416,1
417,9
418,5
419,1
420,4
421,2
422,2
423,2
424,8
425,9
426,5
427,9
428,10
429,9
430,3
431,9
432,1
433,3
434,4
435,11
436,4
437,3
438,6
439,3
440,11
441,9
442,9
443,2
444,5
445,5
446,2
447,2
448,4
449,6
450,11
451,11
452,3
453,4
454,9
455,9
456,5
457,3
458,2
459,11
460,3
461,2
462,3
463,4
464,6
465,6
466,4
467,9
468,9
469,4
470,3
471,3
472,4
473,3
474,9
475,11
476,3
477,6
478,2
479,6
480,11
481,6
482,3
483,2
484,9
485,11
486,6
487,2
488,6
489,1
490,6
491,7
492,11
493,0
494,8
495,0
496,0
497,1
498,10
499,10
500,5
501,10
502,5
503,6
504,11
505,7
506,1
507,5
508,11
509,5
510,5
511,10
512,6
513,8
514,1
515,10
516,0
517,0
518,10
519,10
520,6
521,1
522,8
523,10
524,5
525,7
526,3
527,11
528,6
